qname	qnumber
Andrew Robertson	Q18783557
Anthony Ludovici	Q573542
Anthony van Dyck	Q150679
Aristotle	Q868
Barton	Q97949481
Benedetto Croce	Q192348
Benjamin Marshall	Q15123417
Benjamin Perley Poore	Q4889111
Carl Safford Patton	Q109832903
Carl Seashore	Q1037629
Carleton Noyes	Q16944037
Cass Gilbert	Q464603
Charles Kay Ogden	Q503276
Charles Mills Gayley	Q5080963
Clive Bell	Q684978
Curt John Ducasse	Q1134374
Daniel Ridgway Knight	Q481259
Dewitt H. Parker	Q5268261
E. R. Dodds	Q176172
Earl W. Bascom	Q5326138
Edmund Burke	Q165792
Edward Calvert	Q3719940
Edward Howard Griggs	Q50255425
Eliot Noyes	Q827228
Eugen Neuhaus	Q21483286
Ferruccio Busoni	Q219551
Frances Reynolds	Q5478909
Francis Patrick Donnelly	Q17100217
Francis Younghusband	Q353816
Frederic Edwin Church	Q366212
Friedrich Nietzsche	Q9358
Friedrich Schiller	Q22670
Fritz Neuhaus	Q19618226
Georg Wilhelm Friedrich Hegel	Q9235
George Henry Calvert	Q4219162
George Lansing Raymond	Q5541542
George Santayana	Q237833
George Trumbull Ladd	Q3328844
George Wald	Q295724
Hans Sachs	Q19543
Henry David Thoreau	Q131149
Henry Howard	Q352364
Henry Noble Day	Q23302900
Henry Rankin Poore	Q19667037
Henry Rutgers Marshall	Q1607225
Herbert Langfeld	Q18631891
Hermann Lotze	Q57684
Hippolyte Taine	Q297726
Homer	Q6691
Horace	Q6197
Hugo Münsterberg	Q57946
Immanuel Kant	Q9312
Jacob Loewenberg	Q6118952
James Bramston	Q6130164
James Glaisher	Q1229851
Jane Austen	Q36322
Jane Ellen Harrison	Q437675
Johann Joachim Winckelmann	Q57280
John Addington Symonds	Q538549
John Armstrong	Q713821
John Burgum	Q52155005
John Charles Van Dyke	Q6225795
John Dewey	Q131805
John Riley	Q3809574
John Ruskin	Q179126
John Steinfort Kedney	Q110935420
John Thurston	Q6260795
John Wesley Beatty	Q21535080
Joris-Karl Huysmans	Q210798
Jules de Gaultier	Q1190805
Julius Meier-Graefe	Q78108
Lawrence M. Schoen	Q6504358
Lawrence W. Ladd	Q20825688
Leonardo da Vinci	Q762
Leopold Eidlitz	Q892140
Lucy Crane	Q16063126
Mark Hopkins	Q54556195
Maurice-Charles Raymond	Q115729388
Max Schoen	Q19818478
Monk	Q106170540
Nicolai Hartmann	Q76501
Oriana Weatherbee Day	Q23927999
Plato	Q859
Plotinus	Q134189
Raffaello Piccoli	Q108550538
Rainer Langfeldt	Q2128243
Ralph Waldo Emerson	Q48226
Ralph Withington Church	Q93267939
Richard Francis Towndrow	Q21610908
Robert F. Griggs	Q941374
Robert John Scott Bertram	Q21453394
Samuel Holt Monk	Q59626500
Samuel Taylor Coleridge	Q82409
Stephen Crane	Q206534
Stewart Andrew McDowall	Q108306753
Vernon Lee	Q2669614
Victor Cousin	Q434346
Victor Oscar Freeburg	Q107496663
Walter J. Hipple	Q113502432
Walter Pater	Q352528
Walter Scott	Q79025
Wassily Kandinsky	Q61064
William Guild Howard	Q18911498
William Hogarth	Q171344
William Knight	Q21465790
William R. Symonds	Q8017293
