qname	qnumber
Abraham Lincoln	Q91
Achaeans	Q3514911
Achilles	Q41746
Agamemnon	Q128176
Ajax the Great	Q172725
Alcibiades	Q187982
Alcinous	Q15131083
Andrew Jackson	Q11817
Captain Ahab	Q2630009
Charmides	Q1067590
Chattanooga	Q186702
Code4Lib	Q52670253
Confederate States Army	Q1125021
Critias	Q294092
Cupid	Q5011
Earth	Q2
Falstaff	Q1233109
Fedora Commons	Q1400825
France	Q142
Functional Requirements for Bibliographic Records	Q16388
General	Q2608441
Georgia	Q1428
GitHub	Q364
Gloucester	Q170497
God	Q190
Hawthorne	Q688596
Hector	Q159666
International Standard Book Number	Q33057
Internet	Q75
Julius Caesar	Q1048
Jupiter	Q4649
Kentucky	Q1603
King Edward	Q68815873
Kingdom of England	Q179876
Lady Macbeth	Q2454065
Leviathan	Q192677
Library and Information Technology Association	Q6542508
Macbeth	Q10322723
Machine-Readable Cataloging	Q722609
Marcus Junius Brutus	Q172248
Markdown	Q1193600
Menelaus	Q171839
Missouri	Q1581
Odysseus	Q47231
Phaedrus	Q554535
Physeter macrocephalus	Q81214
Plato	Q859
Preservation Metadata: Implementation Strategies	Q2108820
Primo	Q108376616
Prince Hamlet	Q2447542
Protagoras	Q169243
Python	Q28865
Queequeg	Q3414055
RDF Schema	Q1751819
Richmond	Q43421
Robert E. Lee	Q165557
Socrates	Q913
State	Q7275
Stubb	Q113153362
Telemachus	Q192482
Tennessee	Q1509
Theaetetus	Q920912
Trojans	Q47463094
Ulysses S. Grant	Q34836
Union	Q214102
United States of America	Q30
Vicksburg	Q493787
Virginia	Q1370
War	Q2058013
Wikibase	Q16354758
William Tecumseh Sherman	Q188936
World Wide Web	Q466
ZIP	Q136218
accessibility	Q555097
aesthetic	Q35986
aesthetics	Q35986
android	Q181787
angel	Q235113
animal	Q729
architecture	Q12271
archives	Q166118
art	Q735
artist	Q483501
arts	Q2018526
beauty	Q7242
birds	Q5113
blood	Q7873
boat	Q35872
book	Q571
cataloging	Q3535655
certainty	Q1520777
citation	Q1713
citizen	Q1020994
coffin	Q184418
collection	Q2668072
collections	Q2668072
colonel	Q104680
communication	Q11024
community	Q177634
computer	Q68
computer file	Q82753
conference	Q114834437
content	Q1260632
craft	Q2207288
data	Q494756
day	Q573
dead human	Q18093576
death	Q4
deity	Q178885
digitization	Q843958
duke	Q166886
ebook	Q128093
entity	Q35120
evil	Q15292
experience	Q1355387
eye	Q7364
face	Q37017
fact	Q188572
family	Q8436
father	Q7565
fish	Q152
form	Q279749
fort	Q1785071
friendship	Q491
genius	Q185030
good	Q15290
government	Q7188
hand	Q33767
happiness	Q8
head	Q23640
health	Q12147
heart	Q1072
history	Q309
horse	Q726
house	Q3947
human	Q5
husband	Q212878
idea	Q131841
image	Q478798
imagination	Q34516
infection	Q166231
information	Q11028
infrastructure	Q121359
king	Q12097
knowledge	Q9081
law	Q7748
learning	Q133500
librarian	Q182436
library	Q7075
library catalog	Q856638
life	Q3
literary	Q6673651
love	Q316
machine learning	Q2539
man	Q8441
management	Q2920921
matter	Q26256810
metadata	Q180160
mind	Q450
mistress	Q625369
model	Q1979154
monarch	Q116
morality	Q48324
motion	Q79782
muse	Q1954172
music	Q638
nature	Q115519012
object	Q488383
ocean	Q9430
painting	Q3305213
parish	Q102496
people	Q2472587
philosophy	Q5891
plague	Q133780
pleasure	Q13403650
poetry	Q482
poor	Q46999789
power	Q25107
preservation	Q830393
principle	Q7245141
project	Q170584
queen	Q16511993
reading	Q199657
reason	Q178354
religion	Q9174
research	Q42240
rhetoric	Q81009
right	Q2386606
science	Q336
sea	Q165
search	Q11540953
sense	Q173253
ship	Q11446
siren	Q150986
society	Q8425
software	Q7397
soul	Q9165
spear	Q44475
starbuck	Q113153282
state	Q7275
strategy	Q185451
subject	Q114162760
suitors of Penelope	Q1058631
system	Q58778
systems	Q58778
technology	Q11016
thought	Q349047
time	Q11471
training	Q918385
true	Q16751793
truth	Q7949
universe	Q1
university	Q3918
virtue	Q157811
water	Q283
whale	Q1865281
white	Q23444
wife	Q188830
woman	Q467
word	Q8171
work	Q386724
world	Q16502
